authid,pubid,author,pub_type,year,title,doi,classification,country,nature,lang,keywords,authors,author_position
85,0,Juliana Fleck,Trabalho em Evento,2007.0,Promoção da Saúde na Escola,,Regional,Brasil,Resumo,Português,,"MOREIRA, A. R.; Dall Asta, Adriana; Silveira, A. da; Ferreira, C. L. de L; Décimo, C; Mattos, K.; Pivetta, H.; FLECK, J.; COSTENARO, Regina Gema Santini; PAVÃO, Silvia Maria se Oliveira; Meyer, S",
89,0,Karen Mello de Mattos Margutti,Trabalho em Evento,2007.0,PROMOÇÃO DA SAÚDE NA ESCOLA,,Local,Brasil,Resumo,Português,,"MATTOS, Karen Mello de;MATTOS, KAREN MELLO DE;MARGUTTI, Karen Mello de Mattos;MARGUTTI, Karen M. M.;",Primeiro
1,0,Adriana Dall'Asta Pereira,Trabalho em Evento,2008.0,Promoção da Saúde na Escola,,Local,Brasil,Resumo,Português,,"FERREIRA, Carla Lizandra de Lima; Mattos, Karen Mello de; COSTENARO, Regina Gema Santini; PAVÃO, Silvia Maria de Oliveira; PEREIRA, A. D.; Quinto, Adrean; Avozani, Carla",
31,0,Carla Lizandra de Lima Ferreira,Trabalho em Evento,2008.0,Promoção da Saúde na Escola,,Regional,Brasil,Resumo,Português,  escola; educação em saúde,"PEREIRA, Adriana Dallasta; FERREIRA, CARLA LIZANDRA DE LIMA; COSTENARO, Regina Gema Santini; PAVÃO, Silvia Maria de Oliveira",
89,0,Karen Mello de Mattos Margutti,Trabalho em Evento,2008.0,Promoção da saúde na escola,,Local,Brasil,Resumo Expandido,Português,,"DALLASTA, A.; MATTOS, Karen Mello de;MATTOS, KAREN MELLO DE;MARGUTTI, Karen Mello de Mattos;MARGUTTI, Karen M. M.;; COSTENARO, R.; PAVAO, S.; FERREIRA, C.; AVAZONI, C.; QUINTO, A.",
6,2,Alessandro André Mainardi de Oliveira,Trabalho em Evento,2015.0,Desenvolvimento de um software de controle para Ar.Drone 2.0,,Nao Informado,Brasil,Resumo Expandido,Português,,"VLIEGER, W. D.; OLIVEIRA, A. A. M.; KURTZ, G. C.; CANTARELLI, G. S.",
6,2,Alessandro André Mainardi de Oliveira,Trabalho em Evento,2015.0,DESENVOLVIMENTO DE UM SOFTWARE DE CONTROLE PARA O AR.DRONE 2.0,,Nao Informado,Brasil,Resumo,Português,,"VLIEGER, W. D.; OLIVEIRA, A. A. M.; KURTZ, G. C.; CANTARELLI, G. S.",
70,2,Guilherme Chagas Kurtz,Trabalho em Evento,2015.0,DESENVOLVIMENTO DE UM SOFTWARE DE CONTROLE PARA O AR.DRONE 2.0,,Nacional,Brasil,Resumo,Português,,"VLIEGER, W. D.; OLIVEIRA, A. A. M.; KURTZ, G. C.;KURTZ, GUILHERME CHAGAS; CANTARELLI, G. S.",
70,2,Guilherme Chagas Kurtz,Trabalho em Evento,2015.0,Desenvolvimento De Um Software De Controle Para O Ar.Drone 2.0,,Nacional,Brasil,Completo,Português,,"VLIEGER, W. D.; OLIVEIRA, A. A. M.; KURTZ, G. C.;KURTZ, GUILHERME CHAGAS; CANTARELLI, G. S.",
72,2,Gustavo Stangherlin Cantarelli,Trabalho em Evento,2015.0,Desenvolvimento de um software de controle para o Ar.Drone 2.0,,Regional,Brasil,Resumo Expandido,Português,  Desenvolvimento de Softwares; Drone; FDD; Java,"VLIEGER, W. D.; OLIVEIRA, A. A. M.; KURTZ, G. C.; CANTARELLI, GUSTAVO. S.",Último
72,2,Gustavo Stangherlin Cantarelli,Trabalho em Evento,2015.0,Desenvolvimento de um software de controle para o Ar.Drone 2.0,,Regional,Brasil,Completo,Português,  Desenvolvimento de Softwares; Drone; FDD; Java,"VLIEGER, W. D.; OLIVEIRA, A. A. M.; KURTZ, G. C.; CANTARELLI, GUSTAVO. S.",Último
47,3,Diogo Duarte dos Reis,Artigo Publicado,2014.0,Novel genetic algorithm search procedure for LEED surface structure determination,10.1088/0953-8984/26/22/225005,,,Completo,Inglês,,"VIANA, M L; DOS REIS, D D; SOARES, E A; VAN HOVE, M A; MORITZ, W; DE CARVALHO, V E",
47,3,Diogo Duarte dos Reis,Trabalho em Evento,2014.0,Novel genetic algorithm search procedure for LEED surface structure determination,,Internacional,Brasil,Resumo,Inglês,,"VIANA, M L; DOS REIS, D D; SOARES, E A; VAN HOVE, M A; MORITZ, W; DE CARVALHO, V E",
50,3,Edmar Avellar Soares,Artigo Publicado,2014.0,Novel genetic algorithm search procedure for LEED surface structure determination,10.1088/0953-8984/26/22/225005,,,Completo,Inglês,  Algoritmo Genético; cristalografia; determinacao estrutural; Difração de Elétrons de Baixa Energia,"VIANA, M. L.; dos Reis, D.D.; SOARES, E. A.; VAN HOVE, M. A.; MORITZ, W.; CARVALHO, V. E.",
50,3,Edmar Avellar Soares,Trabalho em Evento,2014.0,Novel genetic algorithm search procedure for LEED surface structure determination,,Nao Informado,Brasil,Resumo,Inglês,  Difração de Elétrons de Baixa Energia; Algoritmo Genético; determinacao estrutural,"VIANA, M. L.; dos Reis, D.D.; SOARES, E. A.; VAN HOVE, M. A.; MORITZ, W.; CARVALHO, V. E.",
160,3,Vagner Eustaquio de Carvalho,Artigo Publicado,2014.0,Novel genetic algorithm search procedure for LEED surface structure determination,10.1088/0953-8984/26/22/225005,,,Completo,Português,,"VIANA, M L; DOS REIS, D D; SOARES, E A; VAN HOVE, M A; MORITZ, W; DE CARVALHO, V E",Último
160,3,Vagner Eustaquio de Carvalho,Trabalho em Evento,2014.0,Novel genetic algorithm search procedure for LEED surface structure determination.,,Internacional,Brasil,Resumo,Inglês,,"ALVARENG, M. L. V.; REIS, D. D.; SOARES, E.; van Hove, M..; MORITZ, W; V. E. de Carvalho",Último
50,4,Edmar Avellar Soares,Trabalho em Evento,1998.0,The Simulated Annealing Global Search Algorithm Applied to the Crystallography of Surfaces by LEED,,Nao Informado,Brasil,Resumo,Português,  superfícies; LEED; simulated annealing,"NASCIMENTO, V. B.; SOARES, E. A.;Soares, E A;Soares, E.A.;Soares, Edmar A;Avellar Soares, Edmar; CARVALHO, V. E.; CASTILHO, C. M. C.",
50,4,Edmar Avellar Soares,Artigo Publicado,1999.0,The Simulated Annealing Global Search Algorithm Applied to The Crystallography of Surfaces By LEED,,,,Completo,Inglês,  LEED; cristalografia; simulated annealing; superfície,"NASCIMENTO, V. B.; CASTILHO, C. M. C.; SOARES, E. A.;Soares, E A;Soares, E.A.;Soares, Edmar A;Avellar Soares, Edmar; CARVALHO, V. E.; BITTENCOURT, C.; WOODRUFF, D. P.",
50,4,Edmar Avellar Soares,Trabalho em Evento,1999.0,The Simulated Annealing Global Search Algorithm Applied to the Crystallography of Surfaces by LEED,,Internacional,Canadá,Resumo,Inglês,  LEED; superfícies; simulated annealing,"NASCIMENTO, V. B.; CASTILHO, C. M. C.; SOARES, E. A.;Soares, E A;Soares, E.A.;Soares, Edmar A;Avellar Soares, Edmar; CARVALHO, V. E.; BITTENCOURT, C.; WOODRUFF, D. P.",
160,4,Vagner Eustaquio de Carvalho,Artigo Publicado,1999.0,The Simulated Annealing Global Search Algorithm Applied to the Crystallography of Surfaces by LEED,,,,Completo,Inglês,  Leed optimisation - CdTE surfaces- Simulated Annea,"CARVALHO, V. E. ou de CARVALHO, V. E.;de Carvalho, V.E.;de Carvalho, V. E.;de Carvalho, Vagner E;DE ; CASTILHO, C. M. C.; SOARES, E. A.; BITENCOURT, C.; WOODRUF, D. P.",Primeiro
160,4,Vagner Eustaquio de Carvalho,Trabalho em Evento,1999.0,The Simulated Annealing global search algorithm applied to the crystallography of surfaces by LEED,,Internacional,Canadá,Resumo,Inglês,,"NASCIMENTO, V. B.; CASTILHO, C. M. C.; SOARES, E. A.; CARVALHO, V. E. ou de CARVALHO, V. E.;de Carvalho, V.E.;de Carvalho, V. E.;de Carvalho, Vagner E;DE ",Último
160,4,Vagner Eustaquio de Carvalho,Trabalho em Evento,2000.0,The Simulated Annealing Global Search Algorithm applied to the crystallography of Surfaces by LEED,,Nacional,Brasil,Resumo,Português,  Leed optimisation - CdTE surfaces- Simulated Annea,"CARVALHO, V. E. ou de CARVALHO, V. E.;de Carvalho, V.E.;de Carvalho, V. E.;de Carvalho, Vagner E;DE ; SOARES, E. A.; CASTILHO, C. M. C.; BITENCOURT, C.; WOODRUFF, D. P.; NASCIMENTO, V. B.",Primeiro
58,5,Fabrício Tonetto Londero,Trabalho em Evento,2012.0,Opção de Marketing para Sistemas Android por meio de Geolocalização,,Regional,Brasil,Resumo,Português,  GeoMarketing; GeoLocalização; MonoDroid,"LONDERO, F. T.; KURTZ, G. C.",Primeiro
70,5,Guilherme Chagas Kurtz,Trabalho em Evento,2012.0,Opção de Marketing para Sistemas Android por Meio de Geolocalização,,Nacional,Brasil,Resumo,Bretão,,"LONDERO, F. T.; KURTZ, G. C.;KURTZ, GUILHERME CHAGAS",Último
58,5,Fabrício Tonetto Londero,Artigo Publicado,2015.0,Opção de Marketing para Sistemas Android por meio de Geolocalização,,,,Completo,Português,  GeoMarketing; Mobile; MonoDroid,"LONDERO, F. T.; CANTARELLI, G. S.; PEROZZO, R. F.; KURTZ, G. C.",Primeiro
70,5,Guilherme Chagas Kurtz,Artigo Publicado,2015.0,Opção de Marketing para Sistemas Android por meio de Geolocalização,,,,Completo,Português,  GeoMarketing; Mobile; MonoDroid,"LONDERO, F. T.; CANTARELLI, G. S.; PEROZZO, R. F.; KURTZ, G. C.;KURTZ, GUILHERME CHAGAS",Último
72,5,Gustavo Stangherlin Cantarelli,Artigo Publicado,2015.0,Opção de Marketing para Sistemas Android por meio de Geolocalização,,,,Completo,Português,  Geomarketing; Mobile; Monodroid,"LONDERO, F. T.; CANTARELLI, GUSTAVO. S.; PEROZZO, R. F.; KURTZ, G. C.",
128,5,Reiner Franthesco Perozzo,Artigo Publicado,2015.0,Opção de Marketing para Sistemas Android por meio de Geolocalização,,,,Completo,Português,,"LONDERO, F. T.; CANTARELLI, G. S.; PEROZZO, R. F.; KURTZ, G. C.",
55,7,Elmo Salomão Alves,Trabalho em Evento,1995.0,Self-induced persistent photoconductivity in resonant tunneling devices,,Nacional,Estados Unidos,Resumo,Inglês,,"NEVES, B. R. A.; E. S. Alves;E. Alves;Alves, E S; OLIVEIRA, A. G.; MOREIRA, M. V. B.; EAVES, L.",
55,7,Elmo Salomão Alves,Trabalho em Evento,1995.0,Self-induced persistent photoconductivity in resonant tunneling devices,,Internacional,Estados Unidos,Completo,Inglês,,"E. S. Alves;E. Alves;Alves, E S",Primeiro
24,7,Bernardo Ruegger Almeida Neves,Artigo Publicado,1996.0,Self-induced persistent photoconductivity in resonant tunneling devices,10.1063/1.117079,,,Completo,Inglês,,"NEVES, B. R. A.;Neves, B R A;NEVES, B;Neves, Bernardo R. A.;Neves, B.R.A.;Neves, Bernardo R.A.;Neves; ALVES, E. S.; SAMPAIO, J. F.; MOREIRA, M. V. B.; OLIVEIRA, A. G.",Primeiro
24,7,Bernardo Ruegger Almeida Neves,Trabalho em Evento,1996.0,Self-Induced Persistent Photoconductivity In Resonant Tunneling Devices,,Internacional,Estados Unidos,Completo,Inglês,,"NEVES, B. R. A.;Neves, B R A;NEVES, B;Neves, Bernardo R. A.;Neves, B.R.A.;Neves, Bernardo R.A.;Neves; ALVES, E. S.; SAMPAIO, J. F.; MOREIRA, M. V. B.; OLIVEIRA, A. G.; EAVES, L.",Primeiro
55,7,Elmo Salomão Alves,Artigo Publicado,1996.0,Self-induced persistent photoconductivity in resonant tunneling devices,,,,Completo,Inglês,,"NEVES, B. R. A.; E. S. Alves;E. Alves;Alves, E S; SAMPAIO, J. F.; OLIVEIRA, A. G.; MOREIRA, M. V. B.",
55,7,Elmo Salomão Alves,Trabalho em Evento,1996.0,Self-induced persistent photoconductivity in resonant tunneling devices,,Nacional,Brasil,Resumo,Inglês,,"E. S. Alves;E. Alves;Alves, E S",Primeiro
0,10,Adelina Pinheiro Santos,Artigo Publicado,2015.0,PEGylated Carbon Nanotubes Impair Retrieval of Contextual Fear Memory and Alter Oxidative Stress Parameters in the Rat Hippocampus,10.1155/2015/104135,,,Completo,Inglês,  carbon nanotubes; SWNT-PEG; PEGylation; Behavioral; Neurobehavioral; Oxidative stress,"DAL BOSCO, LIDIANE; BARROS, DANIELA M.; WEBER, GISELE E. B.; PARFITT, GUSTAVO M.; PAESE, KARINA; GONÇALVES, CARLA O. F.; SERODRE, TIAGO M.; FURTADO, CLASCÍDIA A.; Santos, Adelina P.; MONSERRAT, JOSÉ M.",
36,10,Clascidia Aparecida Furtado,Artigo Publicado,2015.0,PEGylated Carbon Nanotubes Impair Retrieval of Contextual Fear Memory and Alter Oxidative Stress Parameters in the Rat Hippocampus,10.1155/2015/104135,,,Completo,Inglês,,"DAL BOSCO, LIDIANE; BARROS, DANIELA M.; WEBER, GISELE E. B.; PARFITT, GUSTAVO M.; PAESE, KARINA; GONÇALVES, CARLA O. F.; SERODRE, TIAGO M.; FURTADO, CLASCÍDIA A.; Santos, Adelina P.; MONSERRAT, JOSÉ M.",
44,10,Daniela Martí Barros,Artigo Publicado,2015.0,PEGylated Carbon Nanotubes Impair Retrieval of Contextual Fear Memory and Alter Oxidative Stress Parameters in the Rat Hippocampus,10.1155/2015/104135,,,Completo,Inglês,  nanotubos funcionalizados; behavioral; hippocampus,"Dal Bosco, L.; BARROS, D. M.; Weber, G.E.B.; PARFITT, GUSTAVO M.; Paese, K; Gonçalves, C.; Serodre, T.; Furtado, C.; Santos, A.; MONSERRAT, Jose Maria",Último
66,10,Gisele Eva Bruch,Artigo Publicado,2015.0,PEGylated Carbon Nanotubes Impair Retrieval of Contextual Fear Memory and Alter Oxidative Stress Parameters in the Rat Hippocampus,10.1155/2015/104135,,,Completo,Inglês,,"DAL BOSCO, LIDIANE; BARROS, DANIELA M.; WEBER, GISELE E. B.; PARFITT, GUSTAVO M.; PAESE, KARINA; GONÇALVES, CARLA O. F.; SERODRE, TIAGO M.; FURTADO, CLASCÍDIA A.; SANTOS, ADELINA P.; MONSERRAT, JOSÉ M.",
82,10,José María Monserrat,Artigo Publicado,2015.0,PEGylated Carbon Nanotubes Impair Retrieval of Contextual Fear Memory and Alter Oxidative Stress Parameters in the Rat Hippocampus,10.1155/2015/104135,,,Completo,Inglês,  nanotoxicologia; comportamento; hipocampo; estresse oxidativo,"Dal Bosco, Lidiane; Barros, Daniela M.; WEBER, GISELE E. B.; PARFITT, GUSTAVO M.; PAESE, KARINA; GONÇALVES, CARLA O. F.; SERODRE, TIAGO M.; FURTADO, CLASCÍDIA A.; SANTOS, ADELINA P.; MONSERRAT, JOSÉ M.",
0,11,Adelina Pinheiro Santos,Artigo Publicado,2015.0,Biopersistence of PEGylated Carbon Nanotubes Promotes a Delayed Antioxidant Response after Infusion into the Rat Hippocampus,10.1371/journal.pone.0129156,,,Completo,Inglês,  PEGylated Carbon Nanotubes; nanotoxicology; polyethylene glycol; SWNT-PEG,"DAL BOSCO, LIDIANE; Santos, Adelina P.; MONSERRAT, JOSÉ M.; BARROS, DANIELA M.; WEBER, GISELE E.; PARFITT, GUSTAVO M.; CORDEIRO, ARTHUR P.; SAHOO, SANGRAM K.; FANTINI, CRISTIANO; KLOSTERHOFF, MARTA C.; ROMANO, LUIS ALBERTO; FURTADO, CLASCÍDIA A.",
36,11,Clascidia Aparecida Furtado,Artigo Publicado,2015.0,Biopersistence of PEGylated Carbon Nanotubes Promotes a Delayed Antioxidant Response after Infusion into the Rat Hippocampus,10.1371/journal.pone.0129156,,,Completo,Inglês,,"DAL BOSCO, LIDIANE; Santos, Adelina P.; MONSERRAT, JOSÉ M.; BARROS, DANIELA M.; WEBER, GISELE E.; PARFITT, GUSTAVO M.; CORDEIRO, ARTHUR P.; SAHOO, SANGRAM K.; FANTINI, CRISTIANO; KLOSTERHOFF, MARTA C.; ROMANO, LUIS ALBERTO; FURTADO, CLASCÍDIA A.",
44,11,Daniela Martí Barros,Artigo Publicado,2015.0,Biopersistence of PEGylated Carbon Nanotubes Promotes a Delayed Antioxidant Response after Infusion into the Rat Hippocampus,10.1371/journal.pone.0129156,,,Completo,Inglês,  nanotecnologia; nanotubos funcionalizados; memoria; hipocampo,"Dal Bosco, L.; Barros, D.M.; Weber, G.E.B.; CORDEIRO, A. P.; Santos, A.; Furtado, C.; Sahoo, S; Klosterhorr, M; Romano, L.A.; MONSERRAT, Jose Maria",Último
66,11,Gisele Eva Bruch,Artigo Publicado,2015.0,Biopersistence of PEGylated Carbon Nanotubes Promotes a Delayed Antioxidant Response after Infusion into the Rat Hippocampus,10.1371/journal.pone.0129156,,,Completo,Inglês,,"DAL BOSCO, LIDIANE; SANTOS, ADELINA P.; MONSERRAT, JOSÉ M.; BARROS, DANIELA M.; WEBER, GISELE E.; PARFITT, GUSTAVO M.; CORDEIRO, ARTHUR P.; SAHOO, SANGRAM K.; FANTINI, CRISTIANO; KLOSTERHOFF, MARTA C.; ROMANO, LUIS ALBERTO; FURTADO, CLASCÍDIA A.",
82,11,José María Monserrat,Artigo Publicado,2015.0,Biopersistence of PEGylated Carbon Nanotubes Promotes a Delayed Antioxidant Response after Infusion into the Rat Hippocampus,10.1371/journal.pone.0129156,,,Completo,Inglês,  nanotoxicologa; nanomateriais de carbono; Bioquímica; respostas antioxidantes,"Dal Bosco, Lidiane; SANTOS, ADELINA P.; MONSERRAT, JOSÉ M.; Barros, Daniela M.; WEBER, GISELE E.; PARFITT, GUSTAVO M.; CORDEIRO, ARTHUR P.; SAHOO, SANGRAM K.; FANTINI, CRISTIANO; KLOSTERHOFF, MARTA C.; ROMANO, LUIS ALBERTO; FURTADO, CLASCÍDIA A.",
0,12,Adelina Pinheiro Santos,Artigo Publicado,2005.0,Fabrication of Selective metal contacts on Single-Walled Carbon Nanotubes for Device Applications,,,Estados Unidos,Completo,Inglês,  carbon nanotube; AFM,"MACIEL, I. O.; NEVES, B. R. A.; SANTOS, A. P.;Santos, A.P.;Santos, Adelina P.;SANTOS, ADELINA PINHEIRO;SANTOS, ADELINA P.;SANTOS, AD; FURTADO, C. A.; PLENTZ, F.",
24,12,Bernardo Ruegger Almeida Neves,Trabalho em Evento,2005.0,Fabrication of Selective Metal Contacts on Single-Walled Carbon Nanotubes for Device Applications,,Internacional,Brasil,Completo,Inglês,,"MACIEL, Indhira Oliveira; Neves, B.R.A.; SANTOS, A P; FURTADO, C A; Ferlauto, Andre S.; PLENTZ, F",
36,12,Clascidia Aparecida Furtado,Artigo Publicado,2005.0,Fabrication of Selective metal contacts on Single-Walled Carbon Nanotubes for Device Applications,,,,Completo,Inglês,  carbon nanotube; self-assemby monolayer; device; lithography; AFM,"MACIEL, I. O.; NEVES, B. R. A.; SANTOS, A. P.; FURTADO, C. A.;Furtado, Clascidia A.;Furtado, C.A.;Furtado, C A;FURTADO, CLASCÍDIA APARECIDA;FURTADO; FERLAUTO, A. S.; PLENTZ, F. O.",
62,12,Flavio Orlando Plentz Filho,Artigo Publicado,2005.0,Fabrication of Selective Metal Contacts on Single-Walled Carbon Nanotubes for Device Applications,10.1017/S1431927605051007,,,Completo,Inglês,  litografia por feixe eletrônico; Nanodispositivos e Nanosensores; nanotubos de carbono; Transporte Elétrico; Nanofabricação,"Plentz, F.;Plentz, FO;SAFAR, G;PLENTZ, FLÁVIO;Plentz, F.O.;Plentz, Flávio O.;Plentz, F; MACIEL, I. O.; NEVES, B. R. A.; SANTOS, A. P.; FERLAUTO, A.",Primeiro
75,12,Indhira Oliveira Maciel,Artigo Publicado,2005.0,Fabrication of Selective Metal Contacts on Single-Walled Carbon Nanotubes for Device Applications,10.1017/S1431927605051007,,,Completo,Inglês,  carbon nanotubes; optical and electronic lithography; self-assembling,"MACIEL, I. O.; Neves, B. R. A.; Santos, A. P.; Furtado, C. A.; Ferlauto, A. S.; Plentz, F.",Primeiro
120,13,Nilsa Teresinha Reichert Barin,Texto em Jornal/Revista,2001.0,Apresentação,,,Brasil,Revista/Magazine,Português,,"BARIN, N. T. R.",Primeiro
120,13,Nilsa Teresinha Reichert Barin,Outra Produção Bibliográfica,2004.0,Apresentação,,,Brasil,,Português,,"BARIN, N. T. R.",Primeiro
161,13,Valeria Iensen Bortoluzzi,Prefácio/Posfácio,2013.0,Apresentação,,,Brasil,Livro,Português,,"BORTOLUZZI, V. I.; ALVES, M. A.",Primeiro
141,13,Rosane Beatris Mariano da Rocha Barcellos Terra,Prefácio/Posfácio,2015.0,Apresentação,,,Brasil,Livro,Português,,"TERRA, R.B.M.R.B; SOUZA, L. A.; BOFF, S. O.; STAHLHOFER, I. S.",Primeiro
161,13,Valeria Iensen Bortoluzzi,Prefácio/Posfácio,2018.0,Apresentação,,,Brasil,Livro,Português,  Educação; Ensino; Pedagogia; Formação; Docência,"BORTOLUZZI, V. I.; ALVES, M. A.",Primeiro
47,14,Diogo Duarte dos Reis,Trabalho em Evento,2011.0,Atomic geometry of Bi2Te3(0001) surface,,Internacional,Brasil,Resumo,Inglês,,"V. E. de Carvalho; dos Reis, D.D.; SILVA, WENDELL SIMOES; SOARES, E A; BIANCHI, MARCO; HOFMANN, PHILIP",
50,14,Edmar Avellar Soares,Trabalho em Evento,2011.0,Atomic Geometry of Bi2Te3(0001) Surface,,Internacional,Hong Kong,Resumo,Inglês,  Isoloantes Topológicos; Difração de Elétrons de Baixa Energia; superfícies,"CARVALHO, V. E.; dos Reis, D.D.; e SILVA, W. S.; Bianchi, M.; HOFMANN, P.; SOARES, E. A.",Último
50,14,Edmar Avellar Soares,Trabalho em Evento,2011.0,Atomic geometry of Bi2Te3(0001) surface,,Nacional,Brasil,Resumo,Inglês,  Isoloantes Topológicos; Difração de Elétrons de Baixa Energia; superfícies,"CARVALHO, V. E.; dos Reis, D.D.; e SILVA, W. S.; SOARES, E. A.; Bianchi, M.; HOFMANN, P.",
160,14,Vagner Eustaquio de Carvalho,Trabalho em Evento,2011.0,Atomic Geometry of Bi2Te3(0001) Surface,,Nacional,Brasil,Resumo,Inglês,  Isolante Topológicos; Bi2Te3; Estrutura Atômica de Superfície,"de Carvalho, V.E.; Reis, D.D. dos; W. Simões e Silva; Soares, E.A.",Primeiro
160,14,Vagner Eustaquio de Carvalho,Trabalho em Evento,2011.0,Atomic Geometry of Bi2Te3(0001) Surface,,Internacional,Brasil,Resumo,Inglês,  Isolante Topológicos; Bi2Te3; Estrutura Atômica de Superfície,"de Carvalho, V.E.; Reis, D.D. dos; W. Simões e Silva; Soares, E.A.; Bianchi, M.; Hofmann Ph.",Primeiro
6,17,Alessandro André Mainardi de Oliveira,Artigo Publicado,2016.0,Organização e estruturação em XML das características morfológicas de cromossomos a partir de uma base de imagens para o processo de identificação de cromossomos,,,,Completo,Português,  Cromossomos; XML; Características morfológicas; Estruturação; Identificação de cromossomos,"KURTZ, G. C.; OLIVEIRA, A. A. M.; ZAMBERLAN, A. O.; PEROZZO, R. F.; SILVA, R. F.",
